Chromosome	start	end	SNPs
8	51503001	51504000	1
8	51502001	51503000	1
8	51501001	51502000	0
8	51500001	51501000	0
8	51499001	51500000	0
8	51498001	51499000	0
8	51497001	51498000	0
8	51496001	51497000	0
8	51495001	51496000	1
8	51494001	51495000	1
8	51493001	51494000	0
8	51492001	51493000	0
8	51491001	51492000	0
8	51490001	51491000	0
8	51489001	51490000	0
8	51488001	51489000	1
8	51487001	51488000	0
8	51486001	51487000	0
8	51485001	51486000	1
8	51484001	51485000	0
8	51483001	51484000	0
8	51482001	51483000	0
8	51481001	51482000	0
8	51480001	51481000	1
8	51479001	51480000	0
8	51478001	51479000	0
8	51477001	51478000	0
8	51476001	51477000	1
8	51475001	51476000	0
8	51474001	51475000	1
8	51473001	51474000	1
8	51472001	51473000	0
8	51471001	51472000	0
8	51470001	51471000	2
8	51469001	51470000	0
8	51468001	51469000	1
8	51467001	51468000	2
8	51466001	51467000	1
8	51465001	51466000	1
8	51464001	51465000	1
8	51463001	51464000	0
8	51462001	51463000	1
8	51461001	51462000	1
8	51460001	51461000	0
8	51459001	51460000	0
8	51458001	51459000	3
8	51457001	51458000	1
8	51456001	51457000	1
8	51455001	51456000	1
8	51454001	51455000	0
8	51453001	51454000	0
8	51452001	51453000	0
8	51451001	51452000	1
8	51450001	51451000	0
8	51449001	51450000	0
8	51448001	51449000	1
8	51447001	51448000	0
8	51446001	51447000	0
8	51445001	51446000	0
8	51444001	51445000	0
8	51443001	51444000	1
8	51442001	51443000	0
8	51441001	51442000	0
8	51440001	51441000	0
8	51439001	51440000	2
8	51438001	51439000	0
8	51437001	51438000	0
8	51436001	51437000	0
8	51435001	51436000	0
8	51434001	51435000	0
8	51433001	51434000	0
8	51432001	51433000	0
8	51431001	51432000	1
8	51430001	51431000	1
8	51429001	51430000	1
8	51428001	51429000	2
8	51427001	51428000	1
8	51426001	51427000	1
8	51425001	51426000	0
8	51424001	51425000	0
8	51423001	51424000	0
8	51422001	51423000	0
8	51421001	51422000	0
8	51420001	51421000	1
8	51419001	51420000	0
8	51418001	51419000	0
8	51417001	51418000	0
8	51416001	51417000	0
8	51415001	51416000	0
8	51414001	51415000	0
8	51413001	51414000	0
8	51412001	51413000	0
8	51411001	51412000	0
8	51410001	51411000	0
8	51409001	51410000	0
8	51408001	51409000	2
8	51407001	51408000	0
8	51406001	51407000	1
8	51405001	51406000	0
8	51404001	51405000	0
8	51403001	51404000	0
8	51402001	51403000	1
8	51401001	51402000	1
8	51400001	51401000	0
8	51399001	51400000	0
8	51398001	51399000	0
8	51397001	51398000	1
8	51396001	51397000	3
8	51395001	51396000	0
8	51394001	51395000	1
8	51393001	51394000	0
8	51392001	51393000	1
8	51391001	51392000	1
8	51390001	51391000	1
8	51389001	51390000	0
8	51388001	51389000	2
8	51387001	51388000	0
8	51386001	51387000	0
8	51385001	51386000	1
8	51384001	51385000	0
8	51383001	51384000	1
8	51382001	51383000	0
8	51381001	51382000	2
8	51380001	51381000	0
8	51379001	51380000	0
8	51378001	51379000	1
8	51377001	51378000	0
8	51376001	51377000	0
8	51375001	51376000	0
8	51374001	51375000	1
8	51373001	51374000	0
8	51372001	51373000	0
8	51371001	51372000	1
8	51370001	51371000	1
8	51369001	51370000	0
8	51368001	51369000	0
8	51367001	51368000	1
8	51366001	51367000	0
8	51365001	51366000	0
8	51364001	51365000	0
8	51363001	51364000	0
8	51362001	51363000	1
8	51361001	51362000	1
8	51360001	51361000	1
8	51359001	51360000	1
8	51358001	51359000	1
8	51357001	51358000	1
8	51356001	51357000	2
8	51355001	51356000	0
8	51354001	51355000	0
8	51353001	51354000	2
8	51352001	51353000	0
8	51351001	51352000	0
8	51350001	51351000	1
8	51349001	51350000	0
8	51348001	51349000	2
8	51347001	51348000	0
8	51346001	51347000	1
8	51345001	51346000	0
8	51344001	51345000	1
8	51343001	51344000	1
8	51342001	51343000	0
8	51341001	51342000	0
8	51340001	51341000	0
8	51339001	51340000	1
8	51338001	51339000	1
8	51337001	51338000	0
8	51336001	51337000	0
8	51335001	51336000	0
8	51334001	51335000	0
8	51333001	51334000	0
8	51332001	51333000	0
8	51331001	51332000	0
8	51330001	51331000	0
8	51329001	51330000	1
8	51328001	51329000	0
8	51327001	51328000	1
8	51326001	51327000	0
8	51325001	51326000	0
8	51324001	51325000	0
8	51323001	51324000	1
8	51322001	51323000	0
8	51321001	51322000	1
8	51320001	51321000	1
8	51319001	51320000	0
8	51318001	51319000	0
8	51317001	51318000	1
8	51316001	51317000	2
8	51315001	51316000	0
8	51314001	51315000	2
8	51313001	51314000	2
8	51312001	51313000	2
8	51311001	51312000	2
8	51310001	51311000	0
8	51309001	51310000	1
8	51308001	51309000	0
8	51307001	51308000	0
8	51306001	51307000	1
8	51305001	51306000	0
8	51304001	51305000	0
8	51303001	51304000	1
8	51302001	51303000	0
8	51301001	51302000	0
8	51300001	51301000	0
8	51299001	51300000	0
8	51298001	51299000	1
8	51297001	51298000	1
8	51296001	51297000	0
8	51295001	51296000	0
8	51294001	51295000	0
8	51293001	51294000	0
8	51292001	51293000	1
8	51291001	51292000	1
8	51290001	51291000	0
8	51289001	51290000	0
8	51288001	51289000	0
8	51287001	51288000	0
8	51286001	51287000	0
8	51285001	51286000	0
8	51284001	51285000	0
8	51283001	51284000	1
8	51282001	51283000	0
8	51281001	51282000	0
8	51280001	51281000	0
8	51279001	51280000	1
8	51278001	51279000	0
8	51277001	51278000	0
8	51276001	51277000	2
8	51275001	51276000	0
8	51274001	51275000	0
8	51273001	51274000	1
8	51272001	51273000	2
8	51271001	51272000	2
8	51270001	51271000	1
8	51269001	51270000	0
8	51268001	51269000	0
8	51267001	51268000	0
8	51266001	51267000	0
8	51265001	51266000	1
8	51264001	51265000	1
8	51263001	51264000	3
8	51262001	51263000	1
8	51261001	51262000	1
8	51260001	51261000	1
8	51259001	51260000	0
8	51258001	51259000	1
8	51257001	51258000	0
8	51256001	51257000	0
8	51255001	51256000	0
8	51254001	51255000	0
8	51253001	51254000	1
8	51252001	51253000	0
8	51251001	51252000	1
8	51250001	51251000	0
8	51249001	51250000	0
8	51248001	51249000	0
8	51247001	51248000	0
8	51246001	51247000	0
8	51245001	51246000	1
8	51244001	51245000	0
8	51243001	51244000	0
8	51242001	51243000	0
8	51241001	51242000	0
8	51240001	51241000	0
8	51239001	51240000	0
8	51238001	51239000	1
8	51237001	51238000	0
8	51236001	51237000	2
8	51235001	51236000	1
8	51234001	51235000	0
8	51233001	51234000	1
8	51232001	51233000	0
8	51231001	51232000	0
8	51230001	51231000	0
8	51229001	51230000	0
8	51228001	51229000	0
8	51227001	51228000	0
8	51226001	51227000	0
8	51225001	51226000	1
8	51224001	51225000	1
8	51223001	51224000	0
8	51222001	51223000	0
8	51221001	51222000	0
8	51220001	51221000	0
8	51219001	51220000	0
8	51218001	51219000	0
8	51217001	51218000	0
8	51216001	51217000	1
8	51215001	51216000	0
8	51214001	51215000	0
8	51213001	51214000	0
8	51212001	51213000	0
8	51211001	51212000	0
8	51210001	51211000	0
8	51209001	51210000	0
8	51208001	51209000	1
8	51207001	51208000	0
8	51206001	51207000	1
8	51205001	51206000	0
8	51204001	51205000	0
8	51203001	51204000	0
8	51202001	51203000	0
8	51201001	51202000	0
8	51200001	51201000	1
8	51199001	51200000	1
8	51198001	51199000	1
8	51197001	51198000	0
8	51196001	51197000	0
8	51195001	51196000	0
8	51194001	51195000	0
8	51193001	51194000	0
8	51192001	51193000	0
8	51191001	51192000	1
8	51190001	51191000	0
8	51189001	51190000	2
8	51188001	51189000	0
8	51187001	51188000	0
8	51186001	51187000	1
8	51185001	51186000	0
8	51184001	51185000	0
8	51183001	51184000	0
8	51182001	51183000	0
8	51181001	51182000	0
8	51180001	51181000	1
8	51179001	51180000	0
8	51178001	51179000	0
8	51177001	51178000	1
8	51176001	51177000	0
8	51175001	51176000	0
8	51174001	51175000	0
8	51173001	51174000	1
8	51172001	51173000	0
8	51171001	51172000	0
8	51170001	51171000	0
8	51169001	51170000	0
8	51168001	51169000	1
8	51167001	51168000	1
8	51166001	51167000	1
8	51165001	51166000	1
8	51164001	51165000	0
8	51163001	51164000	2
8	51162001	51163000	0
8	51161001	51162000	0
8	51160001	51161000	1
8	51159001	51160000	0
8	51158001	51159000	3
8	51157001	51158000	0
8	51156001	51157000	0
8	51155001	51156000	0
8	51154001	51155000	1
8	51153001	51154000	0
8	51152001	51153000	0
8	51151001	51152000	1
8	51150001	51151000	1
8	51149001	51150000	0
8	51148001	51149000	1
8	51147001	51148000	0
8	51146001	51147000	1
8	51145001	51146000	0
8	51144001	51145000	0
8	51143001	51144000	0
8	51142001	51143000	0
8	51141001	51142000	0
8	51140001	51141000	0
8	51139001	51140000	1
8	51138001	51139000	0
8	51137001	51138000	0
8	51136001	51137000	0
8	51135001	51136000	0
8	51134001	51135000	0
8	51133001	51134000	0
8	51132001	51133000	1
8	51131001	51132000	1
8	51130001	51131000	0
8	51129001	51130000	0
8	51128001	51129000	1
8	51127001	51128000	0
8	51126001	51127000	0
8	51125001	51126000	1
8	51124001	51125000	0
8	51123001	51124000	0
8	51122001	51123000	0
8	51121001	51122000	0
8	51120001	51121000	0
8	51119001	51120000	0
8	51118001	51119000	0
8	51117001	51118000	0
8	51116001	51117000	0
8	51115001	51116000	0
8	51114001	51115000	3
8	51113001	51114000	0
8	51112001	51113000	1
8	51111001	51112000	0
8	51110001	51111000	0
8	51109001	51110000	0
8	51108001	51109000	2
8	51107001	51108000	1
8	51106001	51107000	2
8	51105001	51106000	0
8	51104001	51105000	0
8	51103001	51104000	1
8	51102001	51103000	0
8	51101001	51102000	0
8	51100001	51101000	2
8	51099001	51100000	0
8	51098001	51099000	0
8	51097001	51098000	0
8	51096001	51097000	1
8	51095001	51096000	1
8	51094001	51095000	0
8	51093001	51094000	0
8	51092001	51093000	1
8	51091001	51092000	1
8	51090001	51091000	0
8	51089001	51090000	0
