Chromosome	start	end	SNPs
4	23726001	23727000	0
4	23725001	23726000	0
4	23724001	23725000	0
4	23723001	23724000	0
4	23722001	23723000	2
4	23721001	23722000	2
4	23720001	23721000	1
4	23719001	23720000	0
4	23718001	23719000	0
4	23717001	23718000	0
4	23716001	23717000	0
4	23715001	23716000	0
4	23714001	23715000	0
4	23713001	23714000	0
4	23712001	23713000	0
4	23711001	23712000	0
4	23710001	23711000	0
4	23709001	23710000	0
4	23708001	23709000	0
4	23707001	23708000	0
4	23706001	23707000	0
4	23705001	23706000	0
4	23704001	23705000	1
4	23703001	23704000	1
4	23702001	23703000	0
4	23701001	23702000	1
4	23699001	23700000	1
4	23698001	23699000	1
4	23697001	23698000	1
4	23696001	23697000	0
4	23695001	23696000	0
4	23694001	23695000	1
4	23693001	23694000	0
4	23692001	23693000	0
4	23691001	23692000	0
4	23690001	23691000	0
4	23689001	23690000	2
4	23688001	23689000	1
4	23687001	23688000	2
4	23686001	23687000	0
4	23685001	23686000	0
4	23684001	23685000	1
4	23683001	23684000	0
4	23682001	23683000	0
4	23681001	23682000	0
4	23680001	23681000	0
4	23679001	23680000	0
4	23678001	23679000	0
4	23677001	23678000	0
4	23676001	23677000	0
4	23675001	23676000	0
4	23674001	23675000	0
4	23673001	23674000	1
4	23672001	23673000	1
4	23671001	23672000	0
4	23670001	23671000	0
4	23669001	23670000	0
4	23668001	23669000	1
4	23667001	23668000	0
4	23666001	23667000	0
4	23665001	23666000	0
4	23664001	23665000	0
4	23663001	23664000	0
4	23662001	23663000	0
4	23661001	23662000	0
4	23660001	23661000	0
4	23659001	23660000	0
4	23658001	23659000	0
4	23657001	23658000	0
4	23656001	23657000	0
4	23655001	23656000	0
4	23654001	23655000	0
4	23653001	23654000	0
4	23652001	23653000	0
4	23651001	23652000	0
4	23650001	23651000	0
4	23649001	23650000	1
4	23648001	23649000	0
4	23647001	23648000	0
4	23646001	23647000	0
4	23645001	23646000	0
4	23644001	23645000	0
4	23643001	23644000	0
4	23642001	23643000	1
4	23641001	23642000	0
4	23640001	23641000	0
4	23639001	23640000	0
4	23638001	23639000	1
4	23637001	23638000	1
4	23636001	23637000	1
4	23635001	23636000	0
4	23634001	23635000	0
4	23633001	23634000	0
4	23632001	23633000	0
4	23631001	23632000	1
4	23630001	23631000	1
4	23629001	23630000	1
4	23628001	23629000	1
4	23627001	23628000	0
4	23626001	23627000	0
4	23625001	23626000	0
4	23624001	23625000	0
4	23623001	23624000	0
4	23622001	23623000	1
4	23621001	23622000	1
4	23620001	23621000	2
4	23619001	23620000	1
4	23618001	23619000	0
4	23617001	23618000	2
4	23616001	23617000	1
4	23615001	23616000	0
4	23614001	23615000	0
4	23613001	23614000	0
4	23612001	23613000	0
4	23611001	23612000	2
4	23610001	23611000	0
4	23609001	23610000	0
4	23608001	23609000	0
4	23607001	23608000	0
4	23606001	23607000	1
4	23605001	23606000	1
4	23604001	23605000	1
4	23603001	23604000	1
4	23602001	23603000	2
4	23601001	23602000	0
4	23600001	23601000	0
4	23599001	23600000	0
4	23598001	23599000	0
4	23597001	23598000	0
4	23596001	23597000	0
4	23595001	23596000	0
4	23594001	23595000	0
4	23593001	23594000	0
4	23592001	23593000	0
4	23591001	23592000	0
4	23590001	23591000	0
4	23589001	23590000	3
4	23588001	23589000	1
4	23587001	23588000	2
4	23586001	23587000	2
4	23585001	23586000	2
4	23584001	23585000	0
4	23583001	23584000	2
4	23582001	23583000	0
4	23581001	23582000	4
4	23580001	23581000	1
4	23579001	23580000	1
4	23578001	23579000	2
4	23577001	23578000	2
4	23576001	23577000	3
4	23575001	23576000	1
